Layer,k[0],k[1:]
53,24828932.487717792,"[18743060.835947625, 13608869.175580397, 11654273.159918822, 10624323.2209135, 10021325.696538895, 9661512.234182045, 9459731.51892823, 9371072.47612767, 9369935.19170037, 9441125.012182623, 9575595.638966829, 9768242.129731804, 10016693.623432636, 10320636.389671326, 10681441.027849704, 11101979.063450605, 11586569.444416702, 12141025.137845367, 12772787.625088781, 13491149.016201556, 14307571.147801608, 15236120.488300353, 16294048.58670181, 17502561.835327923, 18887843.579621553, 20482419.108822763, 22326994.386457384, 24472959.785662234, 26985842.372368336, 29950134.044165492, 33476151.489088655, 37709955.79279411, 42847979.16704345, 49159066.810484886, 57018511.73885119, 66962068.154385924, 79774375.11093974, 96638941.35952115, 119403177.49931002, 151069606.54783678, 196759022.86674237, 265730945.87847066, 375986120.2521808, 565887174.986383, 927646037.0473228, 1722424446.4324746]"
54,25665927.879310656,"[19388176.12760627, 14093991.08433713, 12084108.701856688, 11029768.345632538, 10417131.593592256, 10056585.339375675, 9860375.537389815, 9782324.286909148, 9796222.71622932, 9886641.437198743, 10044543.20523423, 10265014.130138338, 10546029.50423801, 10887770.242308557, 11292257.30971697, 11763186.869104058, 12305906.344859868, 12927502.84470886, 13636994.358063042, 14445627.611057013, 15367298.064005613, 16419119.697333217, 17622187.014148176, 19002591.410798907, 20592781.85752994, 22433400.343194604, 24575783.066354096, 27085410.714273393, 30046734.990413666, 33570037.24350673, 37801346.93866891, 42937067.368638396, 49246016.54572189, 57103461.0364176, 67045128.21695447, 79855628.58092666, 96718438.7964989, 119480931.33904958, 151145581.3101473, 196833119.49648643, 265802976.4900453, 376055766.4802425, 565953917.1147575, 927709029.0294514, 1722482288.8860989]"
55,26550616.719122965,"[20070838.783936094, 14608356.006718956, 12540745.086028285, 11461357.784481421, 10839334.020776615, 10478912.207714364, 10289614.421314508, 10223952.741234362, 10255107.711195394, 10367440.84187901, 10551971.344484538, 10804044.310116857, 11122070.939527094, 11506841.610527068, 11961172.635060519, 12489767.16668728, 13099230.67512235, 13798214.491109997, 14597681.682910502, 15511305.078640193, 16556021.62805754, 17752783.370078325, 19127565.768859923, 20712722.44802457, 22548816.16426897, 24687116.582761586, 27193047.901931465, 30151013.277651727, 33671251.74445474, 37899755.25458348, 43032893.134874284, 49339451.8138448, 57194667.491217256, 67134237.12334466, 79942739.21668196, 96803614.92269778, 119564194.93732953, 151226902.2760502, 196912399.032542, 265880020.21514034, 376130239.99116063, 566025270.2874935, 927776362.4564567, 1722544111.226585]"
56,27486866.399181336,"[20794160.192489974, 15154473.971324079, 13026561.534174234, 11921491.127181664, 11290437.550470531, 10931166.158774734, 10750348.200570181, 10699143.740830988, 10750126.695675477, 10887484.275236398, 11102352.289127648, 11390419.513689071, 11750644.466381043, 12184569.589150071, 12695987.185454696, 13290835.710167915, 13977267.812413692, 14765866.886478782, 15670011.990706801, 16706409.458245754, 17895827.89254713, 19264095.072553515, 20843444.35947925, 22674339.501116574, 24807967.760744393, 27309683.98197317, 30263832.23297578, 33780600.50635773, 38005935.92953777, 43136167.65421057, 49440045.16413522, 57292769.56402731, 67230003.10112333, 80036288.25558639, 96895026.6693188, 119653503.06670666, 151314083.6572727, 196997356.1133144, 265962552.36552238, 376209996.0325248, 566101667.5275996, 927848443.7489052, 1722610285.2165885]"
57,28478954.842241734,"[21561589.437757462, 15735137.246779345, 13544213.964343406, 12412856.441544041, 11773257.94340977, 11416363.779055208, 11245861.767497137, 11211520.24010089, 11285317.830352634, 11451313.95335725, 11700837.293176383, 12030026.251535833, 12438525.57172963, 12928807.827235252, 13505867.771313578, 14177166.928953469, 14952771.938867629, 15845668.374743968, 16872258.05972308, 18053070.487259567, 19413743.171709597, 20986356.201947868, 22811248.40393132, 24939504.058868527, 27436392.128483474, 30386184.176390648, 33899006.14063001, 38120751.177488744, 43247700.565160036, 49548560.25787008, 57398490.51656461, 67333113.72316432, 80136931.53724384, 96993301.4172734, 119749457.27954578, 151407703.15740025, 197088545.86217666, 266051105.90112638, 376295544.6976831, 566183593.7510328, 927925727.8398337, 1722681226.8730016]"
58,29531624.801224194,"[22376958.99638982, 16353459.918379627, 14096675.122401088, 12938473.523332343, 12290970.361182451, 11937919.875080064, 11779888.543892741, 11765216.971815407, 11865309.589263946, 12064159.50767681, 12353385.087172657, 12729707.333579719, 13193631.278174192, 13748783.286754966, 14401646.31959498, 15161570.297401667, 16041004.841824472, 17055943.61146161, 18226600.15948522, 19578363.8336311, 21143117.15409428, 22961039.67076701, 25083085.700520635, 27574416.87775463, 30519215.02046591, 34027529.991825104, 38245189.43856251, 43368417.14258438, 49665867.37638676, 57512652.51330078, 67444348.82431734, 80245411.41554129, 97099148.05222249, 119852736.22616923, 151508411.64949977, 197186592.99912643, 266146280.02858877, 376387459.0398145, 566271593.3945403, 928008725.2712731, 1722757402.9189386]"
59,30650146.820684824,"[23244537.894413453, 17012924.16404371, 14687281.741055846, 13501744.975299954, 12847166.597732395, 12499713.048699781, 12356686.865087047, 12364970.600004226, 12495428.35904187, 12732067.692748666, 13066919.6881665, 13497455.573245853, 14025259.974334866, 14655395.764233977, 15396197.246098578, 16259370.111282647, 17260351.64321038, 18418931.597030103, 19760171.188144803, 21315695.08569461, 23125477.42974603, 25240306.776751757, 27725209.300464034, 30664254.691109896, 34167398.71598476, 38380388.82355386, 43499379.16645521, 49792962.15788162, 57636193.58214319, 67564595.97334051, 80362570.97511661, 97213370.11537135, 119964107.893942, 151616944.62683523, 197292202.5988345, 266248750.3352468, 376486384.620945, 566366279.3820946, 928098010.5289383, 1722839338.3569117]"
60,31840392.48892375,"[24169093.763551734, 17717434.567483455, 15319790.17857118, 14106516.788029775, 13445923.321316183, 13106164.31839922, 12981132.080221757, 13016229.06121537, 13181829.738015682, 13462061.674092501, 13849525.494680464, 14342654.940411448, 14944392.204998136, 15661596.487729043, 16504918.420081168, 17489022.37354666, 18633119.95976287, 19961831.911635697, 21506441.72764057, 23306655.30635804, 25413047.33851123, 27890471.189350963, 30822855.043188035, 34320037.16838944, 38527665.933684945, 43641810.42250532, 49930988.36923838, 57770188.12700617, 67694869.10270727, 80489371.08210075, 97336881.520931, 120084444.19004416, 151734135.80976164, 197406172.8450997, 266359280.7805946, 376593050.7934096, 566468343.7049391, 928194231.8677244, 1722927625.390903]"
61,33108919.964114685,"[25155965.55466419, 18471382.11641209, 15998442.337449938, 14757150.50991486, 14091883.82873562, 13762331.852549627, 13658828.189249247, 13725284.920607269, 13931659.706050366, 14262337.87351352, 14710690.088958055, 15276382.921876907, 15964070.775538981, 16782870.537612468, 17746349.462901413, 18872915.328923225, 20186587.475535214, 21718191.069536448, 23507076.853108883, 25603540.08249724, 28072211.08701849, 30996837.520109832, 34487109.418786764, 38688551.54652536, 43797128.07429528, 50081265.75711942, 57915871.88324487, 67836331.06586611, 80626910.94175279, 97470725.43478096, 120214738.39910424, 151860933.38808513, 197529410.21804357, 266478737.94533134, 376708284.0825174, 566578569.9554577, 928298122.9400735, 1723022933.9782557]"
62,34463074.20099676,"[26211149.069240957, 19279719.92568493, 16728044.107133105, 15458609.626069248, 14790356.47395651, 14474025.717671424, 14396243.91655323, 14499438.980814755, 14753253.704962522, 15142510.853188753, 15661608.561661273, 16311792.498009741, 17099884.971393287, 18037856.8834064, 19142973.968844622, 20438418.67512864, 21954389.887674034, 23729760.868488073, 25814456.66103685, 28272816.042626083, 31188353.615484834, 34670570.338131785, 38864835.15153712, 43966981.540126026, 50245324.3424983, 58074672.470731616, 67990321.11225367, 80776453.02289522, 97616097.07001042, 120356126.18733513, 151998419.5021745, 197662947.6610875, 266608108.03799248, 376833024.1299455, 566697848.2378664, 928410516.6145968, 1723126024.3597794]"
63,35911104.86113331,"[27341397.97849732, 20148053.224276327, 17514059.143807814, 16216563.454142407, 15547433.793358207, 15247947.64411594, 15200879.550504744, 15347202.267010838, 15656384.188743442, 16113920.127392799, 16715567.838086575, 17464598.604049623, 18370592.750119686, 19449152.687701046, 20722270.736088455, 22219273.46850735, 23978381.153627813, 26049020.74492067, 28495144.526449203, 31399962.34836799, 34872731.08118206, 39058621.00278467, 44153301.0490281, 50424946.95746565, 58248247.05431068, 68158388.56473696, 80939453.45689166, 97774371.36668658, 120509911.00814974, 152147833.72701967, 197807966.41772747, 266748517.28756666, 376968342.7736902, 566827192.9845784, 928532361.4683876, 1723237762.0022464]"
64,37462305.59228228,"[28554343.64547404, 21082746.783876352, 18362721.534995064, 17037512.760583, 16370137.478494704, 16091862.266458571, 16081472.78667581, 16278547.052129894, 16652570.630258292, 17190017.47350976, 17888435.962856352, 18753703.018626034, 19798927.638899952, 21044367.043602705, 22518106.100209594, 24257454.721800268, 26311158.113036633, 28742648.19803077, 31634730.633428752, 35096343.04477787, 39272399.31872386, 44358358.80143672, 50622222.42019093, 58438529.10388732, 68342334.38055909, 81117599.34974456, 97947136.80359745, 120677595.00541747, 152310601.5338155, 197965822.4140532, 266901256.51673532, 377115466.99039626, 566967764.3431222, 928664741.5596824, 1723359135.497447]"
65,39127179.25456298,"[29858637.890491925, 22091053.790247425, 19281171.85130678, 17928942.47483857, 17266595.839673713, 17014808.237016976, 17048254.38247904, 17305221.040916353, 17755470.67948118, 18386859.816203, 19199290.39736271, 20202004.519576073, 21412655.60683477, 22857516.33628905, 24572599.460306287, 26605698.851962388, 29019533.621345162, 31896364.885443985, 35344706.69971436, 39509137.63196945, 44584846.71764684, 50839612.57385898, 58647786.90961075, 68544262.81611836, 81312854.8918004, 98136236.96447647, 120860916.83045387, 152488368.98088324, 198138078.30655956, 267067810.90708256, 377275806.62064743, 567120893.9746182, 928808900.2466025, 1723491278.1036878]"
66,40917634.810775466,"[31264123.90084607, 23181271.22675699, 20277622.337574705, 18899508.429680496, 18246262.39319262, 18027360.22323537, 18113267.923906833, 18441143.575202316, 18981377.703788072, 19723741.887506038, 20671232.31188798, 21837459.71231091, 23245974.23250115, 24930893.441750586, 26938654.269870818, 29330980.21723938, 32189385.88278848, 35621814.37114143, 39772399.2808041, 44835976.266411066, 51080037.58401859, 58878697.43005502, 68766646.15764105, 81527518.75671923, 98343821.98688865, 121061898.21703517, 152683045.25413907, 198326542.63647866, 267249896.25230598, 377450988.0524862, 567288116.3342545, 928966269.0245018, 1723635493.7994065]"
67,42847223.06345661,"[32782041.858099625, 24362928.235483706, 21361558.644231573, 19959267.120837823, 19320186.880249918, 19141956.3475987, 19290772.79858601, 19702909.30442205, 20349859.113129348, 21224015.83443725, 22332452.458666325, 23694487.024156988, 25341386.544261336, 27317603.188967705, 29683438.87211162, 32519364.55250168, 35932540.057006836, 40066498.96360123, 45115608.05315024, 51346985.55743122, 59134440.35092425, 69012406.51222539, 81764296.11726665, 98572412.71128082, 121282901.73732197, 152896855.17123735, 198533317.9602456, 267449503.37235236, 377642895.3740313, 567471206.8054495, 929138502.6249957, 1723793288.9587975]"
68,44931420.31762049,"[34425277.6450501, 25647015.75940855, 22543987.692192435, 21119960.252705768, 20501353.655650288, 20373310.49438265, 20597756.11635682, 21110433.998309135, 21884582.898792386, 22916163.60414031, 24217641.351546943, 25815846.4631958, 27752242.16809404, 30085048.65797764, 32893245.159891546, 36282895.51725614, 40396709.67170358, 45428422.0698213, 51644654.96467638, 59418819.08857155, 69285020.10931456, 82026389.76999366, 98824981.29776037, 121526702.9514097, 153132404.43208325, 198760860.40129852, 267668952.86464787, 377853720.95181704, 567672228.457797, 929327521.9766474, 1723966411.075171]"
69,47187971.519781694,"[36208665.343113154, 27046268.208808944, 23837744.20487681, 22395369.596253365, 21805107.358302534, 21738935.64972359, 22054588.637996078, 22687790.284880757, 23614398.548345923, 24835215.14730704, 26369876.650253534, 28255188.0598408, 30546230.620024562, 33319796.533857465, 36680381.479664445, 40769542.0425784, 45780144.344332755, 51978141.91481435, 59736418.165961385, 69588651.64366555, 82317616.50412941, 99105053.4031676, 121796581.2533127, 153392761.31264925, 199012053.84921718, 267910963.0465982, 378086027.9886453, 567893589.7302132, 929535567.1014428, 1724156896.3767586]"
70,49637307.669440895,"[38149357.33901332, 28575511.16047634, 25257872.420489877, 23801762.830247134, 23249692.661379665, 23259813.887555122, 23685872.99409777, 24464299.9377169, 25574765.810655415, 27024645.74768734, 28843181.055515826, 31080554.192719936, 33810255.29850185, 37134478.231491566, 41193127.703529954, 46177853.13189697, 52353689.68391317, 60092810.360997796, 69928329.21149683, 82642557.201298, 99416838.88275051, 122096435.23857903, 153681559.76302946, 199290303.1022873, 268178734.86580706, 378342828.42197657, 568138116.0554156, 929765262.6567287, 1724367128.7394571]"
71,52303056.59453321,"[40267280.007391356, 30252093.508760795, 26822104.935498163, 25358458.15115869, 24856944.53839615, 24961262.00525111, 25521551.47183892, 26475976.791630328, 27809665.18673551, 29538946.320150435, 31706036.4216218, 34379264.82346159, 37657345.31439978, 41677755.0724622, 46630399.38449758, 52779026.09963924, 60494832.9935087, 70310174.84934866, 83006752.56842458, 99765400.6617955, 122430930.57222414, 154003130.63899493, 199599651.73229957, 268476058.8219125, 378627680.6257601, 568409139.4121034, 930019699.6914129, 1724599913.0558066]"
72,55212671.91446775,"[42585698.51998904, 32096428.50117992, 28551468.137368336, 27088545.382971138, 26653179.132423848, 26874061.038421392, 27598368.312146485, 28767454.962392956, 30374184.738886356, 32447153.08942288, 35046283.7704097, 38264843.38157916, 42236633.9675526, 47148994.846171975, 53263827.228989124, 60950961.86077428, 70741712.38497496, 83416961.45117736, 100156875.32138467, 122805691.42440403, 154362670.30201256, 199944932.52931094, 268807450.7051132, 378944812.8982496, 568710611.1213138, 930302538.3577542, 1724858567.246222]"
73,58398212.73169555,"[45131921.920736074, 34132676.37506114, 30471054.16240701, 29019815.38680178, 28670354.895101756, 29035945.862985075, 29961822.342898905, 31394598.028569043, 33338070.627524555, 35837767.26693612, 38978067.810763896, 42887012.88097376, 47748051.84698683, 53820366.44360685, 61471825.66033733, 71232284.58323836, 83881506.26332557, 100598764.70664144, 123227551.03880262, 154766459.422719, 200331961.33641577, 269178325.43280673, 379299280.83752036, 569047245.0461142, 930618137.9362984, 1725147038.508871]"
74,61897317.080457695,"[47938190.0226612, 36389612.84657884, 32611014.110363394, 31185969.722798765, 30947602.12760675, 31493592.408442944, 32668807.15126306, 34428078.01598948, 36790673.32841259, 39825724.57020593, 43651856.67390841, 48446411.22375643, 54464442.001856506, 62070926.75934756, 71793627.67880559, 84410741.71163309, 101100326.54400432, 123704883.65658236, 155222150.0737418, 200767789.33565426, 269595221.79256415, 379697169.6971204, 569424700.935322, 930971722.7832618, 1725470051.3619938]"
75,65754426.55703587,"[51042798.13408781, 38901743.952838466, 35007848.40415418, 33628211.77667984, 33533261.048279285, 34305301.98612371, 35791229.730558276, 37958358.075469375, 40847951.174178064, 44562446.94839835, 49269187.29079485, 55216734.35121137, 62765672.20219648, 72440677.28144789, 85017701.26661456, 101673105.38357246, 124248050.05482745, 155739146.98365498, 201261035.0602796, 270066095.9926069, 380145857.0895395, 569849821.3124709, 931369595.9830208, 1725833297.7790604]"
76,70022339.526754,"[54491535.90102588, 41710750.92425886, 37706100.844902605, 36397363.669098794, 36487631.442424625, 37544676.81593609, 39421044.35951203, 42102743.14346361, 45662566.02288383, 50250629.14593142, 56104846.966983736, 63578883.70085597, 73192722.44118142, 85719005.2181462, 102331666.11619544, 124870004.39207232, 156329120.57931685, 201822326.6427164, 270600709.3871405, 380654357.6023605, 570330940.5695653, 931819417.0156198, 1726243683.6168847]"
77,74764198.32533805,"[58339545.36003201, 44867382.26560858, 40760607.99839926, 39556717.7753225, 39886732.881326795, 41305727.86291689, 43677369.96640307, 47015537.02973372, 51438727.00643188, 57166473.59222442, 64541070.00241935, 74075097.67951715, 86536162.76333725, 103094626.01548743, 125587134.31957102, 157006707.54992282, 202464898.77935266, 271211146.8706825, 381233780.0118258, 570878292.5855272, 932330566.2940879, 1726709651.1441894]"
78,80056055.67372382,"[62653744.757896096, 48433959.35005623, 44239522.89004752, 43185929.88022381, 43827523.47017872, 45710089.32315171, 48716734.95350081, 52902966.933555365, 58454500.3782897, 65693956.324891865, 75121731.93681967, 87497483.5485822, 103986137.03961647, 126420445.42511964, 157790483.17720568, 203205410.4581902, 271912519.319324, 381897941.42248607, 571504554.5201561, 932914629.0239205, 1727241605.651287]"
79,85990222.80162878,"[67516025.2201247, 52487734.9960947, 48228434.28647423, 47386413.26262486, 48435261.14725363, 50917392.34429395, 54748118.280527234, 60045600.45204574, 67096174.33920014, 76379111.48976779, 88640960.91907847, 105038065.42333162, 127397265.87952876, 158704335.69264925, 204065083.52214837, 272723929.59035087, 382664203.4456394, 572225581.4750423, 933586045.1307425, 1727852486.210742]"
80,92679685.36733888,"[73027517.06402911, 57125455.31458694, 52836061.1432842, 52288933.929067194, 53874073.98875648, 57140479.10358763, 62055522.96683228, 68832853.82737738, 77912674.71187198, 90018759.97964013, 106293284.34246707, 128553757.96564746, 159779449.27862036, 205071317.16773558, 273669822.9422362, 383554627.82529044, 573061412.8097463, 934362993.6508346, 1728558538.826826]"
81,100263997.1293267,"[79314357.74910834, 62469646.05682078, 58202251.72877109, 58064496.9335618, 60362440.78275877, 64668211.259978056, 71032696.68557513, 79817601.12893105, 91704468.00384033, 107810806.91690052, 129938719.57215428, 161057233.06492507, 206260024.95863223, 274781909.7902467, 384597600.2205763, 574037671.6728764, 935268613.3760653, 1729380377.9906263]"
82,108917247.92279041,"[86535600.8949821, 68677413.70252532, 64509420.31397611, 64940259.6158098, 68196365.56179017, 73900513.64244354, 82238032.15746194, 93805340.13437915, 109674090.27336061, 131619521.55654454, 162593765.47131371, 207679097.84362507, 276101960.4805229, 385830154.3610971, 575187544.4253683, 936332714.115181, 1730344465.940308]"
83,118858988.66324031,"[94894230.3864542, 75952984.21229538, 71999221.3228184, 73223307.18183678, 77784931.33658904, 85403724.73655933, 96484136.45008504, 112005079.46660042, 133691730.32416916, 164466752.30628932, 209393675.58553672, 277685963.9595957, 387301368.5121949, 576554633.217469, 937594217.5484843, 1731485207.7726073]"
84,130369443.62053384,"[104652762.53092383, 84565915.26405632, 80997393.66455376, 83337054.66488385, 89706372.00408423, 100000801.30098987, 114989281.82788217, 136295409.13783562, 166786829.73517752, 211494425.6391437, 279610484.6734457, 389077447.33249044, 578197154.2945523, 939104706.2532029, 1732847972.581316]"
85,143811055.16714165,"[116155768.78138778, 94878124.01600277, 91951690.01805818, 95878536.51510781, 104799313.74537694, 118923677.59722137, 139644268.2954626, 169716754.28855848, 214111032.5858562, 281982687.7753639, 391249533.40483236, 580194265.7755966, 940933696.2425537, 1734493537.7511468]"
86,159659575.5703761,"[129863079.17943531, 107384974.59229743, 105491390.89333516, 111711428.66040319, 124316649.14484465, 144081441.84551132, 173505788.6135447, 217435166.99124396, 284956740.82063913, 393946095.88950706, 582655868.0356874, 943176662.6088076, 1736504774.4099221]"
87,178549883.24835935,"[146399896.6016924, 122779456.10417801, 122523634.8300243, 132122578.8973403, 150195964.43378782, 178555617.4337852, 221761754.7207415, 288761852.02970505, 397353312.7654288, 585738267.1549828, 945967598.7083678, 1738996960.4339466]"
88,201345091.98349306,"[166634466.37458, 142055561.29441458, 144394982.76996815, 159096481.53651154, 185558218.1637764, 227568285.51129878, 293752837.5092566, 401750106.2150011, 589670147.9590144, 949499306.672751, 1742134150.8992548]"
89,229243571.72665355,"[191802130.17222372, 166680781.05493414, 173173748.75632393, 195820261.2454785, 235681057.3665588, 300507635.4689264, 407571666.17655015, 594797572.3594658, 954057421.8573289, 1746156031.6404977]"
90,263949691.69236657,"[223710410.6558099, 198895881.7299719, 212167587.6046077, 247667030.97747958, 310032341.9806471, 415532563.7386992, 601666203.1133833, 960080042.653707, 1751423683.989025]"
91,307955666.8904044,"[265091832.55549186, 242261261.48206627, 266927687.9201522, 324245727.01622915, 426886783.919894, 611181855.5839076, 968267968.8302789, 1758501175.5942001]"
92,365025455.297528,"[320239837.8845087, 302710353.0812459, 347334152.0300094, 444044547.83743644, 624951964.4942381, 979802464.2479076, 1768309130.6297026]"
93,441064529.18264186,"[396219935.3051412, 390722723.71646965, 472301985.4337518, 646100473.4982922, 996813587.5632391, 1782433764.1452765]"
94,545770231.2606168,"[505334675.5583879, 526193782.9716221, 681563435.9337289, 1023509192.0720482, 1803804017.4299078]"
95,695973366.9897544,"[670565530.822999, 750538215.9107931, 1069381558.5822105, 1838353457.8225474]"
96,922962476.5450399,"[938877118.9429498, 1161064644.5082805, 1899815345.4523468]"
97,1290208120.9305108,"[1418322912.70665, 2027644473.3460383]"
98,1942070211.1957495,[2401529077.180871]
99,3262376751.2794137,[]
