Layer,k[0],k[1:]
53,24102162.539682616,"[18189092.89803439, 13199932.648642324, 11298305.762272969, 10294380.414841048, 9704777.857618243, 9350970.12066722, 9150193.457580552, 9058755.520852566, 9051707.986371651, 9114194.877364874, 9237315.28050907, 9415976.235794157, 9647715.71715343, 9932039.590338528, 10270052.570175946, 10664271.308224171, 11118561.266139835, 11638167.679105341, 12229827.735588104, 12901962.300052464, 13664954.331221282, 14531529.560007691, 15517264.460060298, 16641258.509790123, 17927023.967077494, 19403669.319046378, 21107485.932800293, 23084097.017248094, 25391403.14296168, 28103674.630675316, 31317324.02514577, 35159186.3624385, 39798620.281155586, 45465563.66141701, 52478104.89941037, 61285693.34892845, 72538877.79169714, 87205684.39679706, 106773423.17103934, 133614561.09855807, 171685623.16352963, 227947909.50973034, 315481280.3858335, 460973697.02490306, 724989140.0179877, 1265971883.0068927]"
54,24906824.26336517,"[18808980.242827274, 13665691.613588363, 11710640.045305997, 10682983.674270272, 10083806.112247825, 9728949.306323841, 9533137.147965074, 9451448.63226536, 9458337.796059117, 9538708.67528686, 9683651.930129677, 9888237.524151146, 10150310.8537907, 10469822.093185246, 10848462.478293538, 11289493.11141029, 11797707.471788079, 12379498.881168395, 13043022.223339409, 13798451.747676164, 14658347.280953795, 15638151.851898283, 16756856.424845576, 18037884.108063996, 19510269.42514068, 21210241.782629788, 23183371.97020763, 25487515.74538982, 28196904.67150891, 31407917.319220066, 35247358.456291914, 39884559.20675844, 45549431.799826145, 52560039.951129675, 61365808.33129656, 72617259.88251448, 87282392.29626143, 106848482.4241463, 133687956.44087791, 171757286.29897928, 228017699.55299282, 315548952.0038636, 461038847.0495882, 725051114.8112054, 1266029612.0747042]"
55,25756889.05885173,"[19464586.672384422, 14159237.048430413, 12148410.769767083, 11096370.963715091, 10487827.137166888, 10132700.640393436, 9943086.22690466, 9872791.437223762, 9895669.091735229, 9996405.13855052, 10166123.810197175, 10400118.720802516, 10696623.131754756, 11056134.43430391, 11481060.17128846, 11975568.819994837, 12545586.484311372, 13198912.381908983, 13945445.623904467, 14797530.108619392, 15770437.1843023, 16883019.679799855, 18158588.321782887, 19626085.24182421, 21321663.1124413, 23290828.341447473, 25591382.092242062, 28297509.095466852, 31505547.213000953, 35342265.26522666, 39976962.01089096, 45639519.81962788, 52647974.000944614, 61451721.15625751, 72701255.20169902, 87364542.2139256, 106928822.62239325, 133766478.15973234, 171833923.40902877, 228092307.76792192, 315621274.93043447, 461108459.2178323, 725117322.7556701, 1266091276.6063738]"
56,26656002.0490694,"[20158842.051391598, 14682928.978564844, 12613851.66009038, 11536791.747613683, 10919185.206502616, 10564722.39684473, 10382746.426106513, 10325751.386303097, 10366990.15330863, 10490960.595580965, 10688873.836100787, 10956322.776216596, 11292028.207333714, 11697162.260164171, 12175010.083604813, 12730850.940587878, 13372000.46800372, 14107989.618255198, 14950877.449109942, 15915711.723666102, 17021167.453702807, 18290412.234684467, 19752271.681619883, 21442802.58843553, 23407431.62457049, 25703892.91407579, 28406314.16644907, 31610984.107100427, 35444628.55987114, 40076507.9471333, 45736469.643452525, 52742516.04932225, 61544011.64759171, 72791417.5625093, 87452664.59629273, 107014952.99694932, 133850615.93010235, 171916005.74145603, 228172187.4820547, 315698684.2815447, 461182949.02604795, 725188156.6306939, 1266157240.831633]"
57,27608191.384260144,"[20894990.95503409, 15239389.971768424, 13109453.36193972, 12006762.863316715, 11380512.480302215, 11027829.80727975, 10855178.145684153, 10813697.87810658, 10876049.640577689, 11026583.573494464, 11256665.314004421, 11562281.517261893, 11942764.517524779, 12400120.034406513, 12938712.473719448, 13565187.495741248, 14288575.131302387, 15120553.032861352, 16075873.82610619, 17172980.80072266, 18434857.199863017, 19890180.169802845, 21574885.548217714, 23534300.354826808, 25826075.690776467, 28524269.276616573, 31725110.067100286, 35555272.07025403, 40183969.96564019, 45841009.819774926, 52844355.64220989, 61643334.920059204, 72888371.50420153, 87547356.62488306, 107107445.99604297, 133940919.5067513, 172004061.77720046, 228257846.60463, 315781667.1864927, 461262781.352159, 725264055.6902409, 1266227911.9393616]"
58,28617918.38207084,"[21676634.805278346, 15831541.552381665, 13638000.288209617, 12509108.144946411, 11874773.078537017, 11525205.184667319, 11363854.3924167, 11340470.099548355, 11427136.896058261, 11608110.771609098, 11874997.662519217, 12224296.357242227, 12656105.778219342, 13173464.22836411, 13782069.072566688, 14490255.82090196, 15309182.799443454, 16253207.159259975, 17340466.10414976, 18593702.4882589, 20041402.125789165, 21719346.66125709, 23672737.366349578, 25959121.583771586, 28652470.3836329, 31848939.412085652, 35675139.734084785, 40300231.025077224, 45953970.22221357, 52954276.21917462, 61750433.589016914, 72992823.53691149, 87649292.63875735, 107206947.00153804, 134038007.82908177, 172098685.7978382, 228349855.71181798, 315870770.42556953, 461348477.65593123, 725345512.4027643, 1266303746.28333]"
59,29690135.582168296,"[22507780.8139897, 16462646.711049005, 14202613.843458489, 13047005.135699019, 12405315.300294414, 12060457.615434602, 11912730.143090725, 11910458.688033342, 12025179.157558173, 12241123.931467265, 12550248.20130819, 12949711.818107337, 13440575.155495673, 14027159.915410608, 14716817.79774633, 15519986.529989362, 16450484.370886266, 17526038.07933739, 18769072.75750649, 20207824.57493812, 21877876.36405617, 23824269.035448372, 26104418.978339136, 28792188.98680067, 31983643.99898547, 35805317.97064352, 40426303.89254415, 46076299.8019501, 53073171.16024864, 61866152.38787615, 73105575.55410755, 87759236.52486145, 107314185.84613335, 134142579.78551936, 172200547.9921515, 228448857.566463, 315966609.40883803, 461440624.43300915, 725433080.3569875, 1266385256.6564808]"
60,30830354.1874827,"[23392899.029417597, 17136359.713542588, 14806803.329402387, 13624040.38478908, 12975933.764438227, 12637694.375542894, 12506325.792172775, 12528704.540097356, 12675859.885216564, 12932092.977707654, 13289846.945063025, 13747130.91061467, 14306213.0189102, 14973016.60374546, 15756957.804190904, 16671106.528033048, 17732629.804641306, 18963526.330123007, 20391702.061057746, 22052480.27023053, 23990695.006754994, 26263595.61459285, 28944908.233278632, 32130584.500398457, 35947063.05284166, 40563355.329420865, 46209088.15435493, 53202063.18429661, 61991455.75982702, 73227540.90955567, 87878056.51683867, 107429990.52588415, 134255426.99431407, 172310406.42728138, 228555578.37135077, 316069878.7721627, 461539883.1783025, 725527383.5695643, 1266473020.848775]"
61,32044722.68135257,"[24336989.068853594, 17856784.687731154, 15454526.142670095, 14244275.191617161, 13590943.697507828, 13261606.789828658, 13149828.061640471, 13201019.019748002, 13385763.622428, 13688552.410748094, 14102493.489189684, 14626684.320336133, 15264914.149098247, 16025114.614809364, 16919293.78505838, 17963840.751999617, 19180172.24783331, 20595750.766631126, 22245556.020547926, 24174151.838350296, 26438571.996182263, 29112368.29226321, 32291349.401224136, 36101834.989797056, 40712735.835148335, 46353591.88520253, 53342127.93788874, 62127449.14689505, 73359763.78930366, 88006742.95831072, 107555303.60362291, 134377449.04693294, 172429121.28983116, 228670841.12718153, 316181364.9323857, 461647002.1744983, 725629127.4855638, 1266567691.753467]"
62,33340118.80516001,"[25345658.47881639, 18628544.81551691, 16150259.268268287, 14912324.128873512, 14255270.174425438, 13937573.986435398, 13849212.69198966, 13934131.045945585, 14162554.427464396, 14519320.090355664, 14998427.985439956, 15600369.320240945, 16330855.753649205, 17200350.96632251, 18224139.24757862, 19422827.7908352, 20823273.349494696, 22459993.89864856, 24377195.361151457, 26631629.77834779, 29296623.903554976, 32467804.03302926, 36271339.79849249, 40876016.49302018, 46511267.06339234, 53494722.86169088, 62275404.90637982, 73503442.68435335, 88146429.73690498, 107691201.929474, 134509671.7751726, 172557671.9046507, 228795581.55856133, 316301961.0271399, 461762830.49779963, 725739112.0323868, 1266670009.349626]"
63,34724257.57622829,"[26425215.11569251, 19456864.39795506, 16899084.573856995, 15633449.280844033, 14974555.870518804, 14671788.957027346, 14611394.475502998, 14735868.170666248, 15015197.084412575, 15434770.47408101, 15989772.191013843, 16682479.824207246, 17521045.30851817, 18519144.540872633, 19696233.96880704, 21078326.981867254, 22699310.325968564, 24602908.54757017, 26845500.302437544, 29500118.10256791, 32662152.799794257, 36457582.6904642, 41055034.97278035, 46683809.45663142, 53661422.755010724, 62436794.060691714, 73659959.00136566, 88298420.29259825, 107838920.47502232, 134653269.25219262, 172697177.17111754, 228930867.18963194, 316432684.7718041, 461888334.7303145, 725858247.1763649, 1266780814.9687567]"
64,36205818.64944793,"[27582776.51162643, 20347666.62538182, 17706791.05560255, 16413673.917494461, 15755291.86813736, 15471412.598047107, 15444411.84510529, 15615380.949452132, 15954233.244459629, 16447178.376458347, 17090962.084197998, 17890156.67438847, 18856028.07878974, 20006355.8150616, 21365953.295223653, 22967827.611605883, 24855044.681087255, 27083480.600548506, 29725777.709825873, 32877018.938982904, 36662935.61008179, 41251953.45426202, 46873204.80895674, 53844063.91253519, 62613325.45806253, 73830912.15788317, 88464219.36516011, 107999881.30167091, 134809590.4324304, 172848920.22830462, 229077920.30397677, 316574699.90388894, 462024618.9935241, 725987571.5448298, 1266901068.3556437]"
65,37794597.11603319,"[28826399.918977566, 21307690.608614355, 18579998.022960067, 17259920.349675283, 16604977.35881643, 16344763.089338124, 16357655.448566198, 16583422.872748673, 16992128.673006088, 17571154.845813245, 18319301.238642186, 19244098.11149898, 20360809.685333073, 21692498.900701046, 23270919.99698794, 25138220.200605333, 27349587.426185608, 29977138.50741315, 33115547.885341883, 36890223.859912336, 41469332.23458469, 47081792.20059782, 54044799.33028841, 62806994.42677426, 74018162.92503381, 88645571.99441087, 108175728.98062098, 134980191.5917753, 173014378.3850298, 229238145.72266436, 316729342.0638368, 462172949.0787182, 726128274.8227186, 1267031868.1651192]"
66,39501682.839212,"[30165237.66055587, 22344632.164091855, 19526304.301383644, 18180178.059769437, 17532315.805575058, 17301550.220032215, 17362153.137737542, 17652702.18178433, 18143713.338179052, 18824204.482251585, 19695675.030950993, 20769485.91501361, 22066071.584197283, 23615356.718499124, 25458178.758960247, 27648764.8101781, 30258511.524392366, 33381542.842231393, 37142838.4299835, 41710224.20593321, 47312344.63101447, 54266168.34411955, 63020143.700148106, 74223887.34754145, 88844511.75756955, 108368374.17903721, 135166876.06985843, 173195259.64706683, 229413164.59569597, 316898150.19452786, 462334781.6603823, 726281724.8225598, 1267174476.7066946]"
67,41339674.71687739,"[31609723.617793523, 23467314.066112295, 20554469.96704063, 19183709.991971523, 18547457.438613713, 18353167.31971395, 18470927.90155527, 18838327.49319756, 19426743.841006517, 20227444.439014673, 21245481.328522623, 22497205.233151257, 24009790.425032437, 25822159.523730874, 27987168.372640014, 30575207.206441343, 33679644.97003555, 37424883.418364525, 41978297.45486319, 47568172.53676921, 54511185.284193754, 63255540.356018186, 74450644.35093236, 89063420.86910963, 108580047.66320014, 135371743.27241838, 173393547.56796646, 229604855.74777246, 317082904.84879994, 462511799.8537817, 726449500.3745275, 1267330349.9709172]"
68,43322937.92606222,"[33171798.254477, 24685893.080607682, 21674639.029075056, 20281307.281168163, 19662301.077608645, 19513057.614863396, 19699450.929024816, 20158376.974180967, 20862628.655873865, 21806540.968817264, 22999855.882220447, 24465469.264140487, 26239421.692866623, 28372562.02006197, 30933842.61921686, 34015576.42263347, 37741372.086075485, 42277996.274626315, 47853258.23273593, 54783453.471744776, 63516473.87659907, 74701461.23211968, 89305105.65171015, 108813367.70099294, 135597249.50858796, 173611556.6790161, 229815406.58025837, 317285675.2014246, 462705956.74146605, 726633431.5093966, 1267501174.262556]"
69,45467914.36719269,"[34865181.62227934, 26012113.212609515, 22898614.01541826, 21485605.93204613, 20890872.530071408, 20797177.57089418, 21066219.881163657, 21634631.84804067, 22477372.334939778, 23592942.016549617, 24997303.848771572, 26722009.44308287, 28814883.10395968, 31342770.26635921, 34396473.57159275, 38098491.44926721, 42614755.443966985, 48172432.62073964, 55087313.41170812, 63806882.381507516, 74979942.76178944, 89572892.11798716, 109071424.85505366, 135846284.0808072, 173852001.470855, 230047376.15146017, 317508877.10660434, 462919528.9771917, 726835648.8397298, 1267688911.1508613]"
70,47793499.356963515,"[36705706.495901346, 27459617.423403487, 24240196.842373982, 22811483.365037054, 22249802.680277467, 22224587.782679766, 22593503.588858902, 23293530.78784731, 24302817.557106763, 25625517.64227718, 27285898.437793493, 29327066.926241755, 31812689.258078516, 34831352.37015742, 38503965.26541448, 42995289.60988349, 48531610.546287, 55428037.761454225, 64131516.91170597, 75290411.81859744, 89870748.14089155, 109357889.56613636, 136122265.20944345, 174118082.88084745, 230303773.89994693, 317755345.27705646, 463155183.225327, 727058644.6228237, 1267895852.9605932]"
71,50321501.352034,"[38711727.377270296, 29044333.871878594, 25715615.00711374, 24276558.808493465, 23758936.552169055, 23818213.261228472, 24308310.305041343, 25167424.606925935, 26378297.301220864, 27952769.73796469, 29926282.917688847, 32357537.288367033, 35331771.91701919, 38967561.242316306, 43427990.5456748, 48938108.89754224, 55812091.2518512, 64496157.810055494, 75638092.65770435, 90203441.1791867, 109677149.9169296, 136429262.00180197, 174413597.59902167, 230588158.6321063, 318028423.6624403, 463416059.07375765, 727305348.7689157, 1268124691.7177224]"
72,53077206.449316,"[40904625.92447292, 30784957.891849637, 27344058.54439208, 25901829.95058623, 25442116.138088286, 25605831.07345763, 26243659.67103848, 27296244.22153613, 28752859.25951767, 30635847.88717085, 32995828.47294271, 35912803.33480865, 39501814.65586442, 43923482.60520041, 49401083.620765865, 56247482.3109746, 64907903.50640786, 76029352.6149261, 90576744.14152253, 110034489.82003558, 136772150.9796381, 174743077.40841842, 230904763.99993205, 318332079.4840081, 463705873.2623062, 727579224.1198044, 1268378605.3999763]"
73,56090076.06474386,"[43309439.878763795, 32703557.988637432, 29148362.080513, 27712490.131693512, 27328196.1980325, 27621366.59252307, 28440272.369107336, 29729744.92526239, 31488300.205666065, 33752724.67199248, 36594483.568971574, 40123085.45766306, 44495415.662513316, 49932141.22233933, 56744246.574287415, 65375561.6152066, 76472025.11249661, 90997707.31779838, 110436322.0262115, 137156818.98746562, 175111968.47538757, 231258658.94850588, 318671048.30234694, 464029051.7330272, 727884386.7828469, 1268661366.6245618]"
74,59394615.19999199,"[45955651.469216205, 34826343.93718311, 31155878.80772844, 29738987.261027634, 29452375.95045528, 29906613.797578335, 30948841.83450067, 32530565.92528075, 34663364.77650243, 37404067.16009939, 40853145.24112439, 45161624.18118161, 50546212.353459716, 57315124.0427748, 65910187.30222583, 76975847.66989303, 91475022.35016882, 110890496.49219465, 137590429.12530148, 175526864.3886763, 231655954.81762505, 319051020.1999643, 464390898.33537173, 728225759.3336105, 1268977480.6791625]"
75,63031461.01513561,"[48878183.57158058, 37184648.795923844, 33399610.961460233, 32018410.033839017, 31857964.332429677, 32513545.97502646, 33833128.77835882, 35778461.26692879, 38379646.95220238, 41721636.422002316, 45945868.24252564, 51262829.65468037, 57976527.292429626, 66525838.06086922, 77553065.62235427, 92019516.56551671, 111406713.90227854, 138081773.49290383, 175995812.4166466, 232104075.40393424, 319478881.02027774, 464797812.310946, 728609267.5509648, 1269332362.282936]"
76,67048758.419177786,"[52118669.06541997, 39816196.127338275, 35919686.96489328, 34596322.72538972, 34598748.22478405, 35507460.267979175, 37174237.10271454, 39576242.699489236, 42770028.1834504, 46880532.925635755, 52108048.480763555, 58749958.90377313, 67240654.00355017, 78219279.58454359, 92644835.37758517, 111997088.36199677, 138641747.30961525, 176528720.86967158, 232612113.05624366, 319963028.1894517, 465257571.40012074, 729042095.4033809, 1269732563.9739604]"
77,71503913.113593,"[55727083.08639412, 42766751.69999942, 38765312.77673471, 37529222.88580102, 37742211.27030495, 38971318.36501336, 41076615.138688564, 44058271.54244614, 48010972.86472601, 53117426.78640586, 59664143.686300755, 68078440.93887484, 78994659.89483607, 93368401.66406977, 112676925.634475, 139283995.56070125, 177137908.17822826, 233191303.94660068, 320513788.85131884, 465779704.2689841, 729533018.8495684, 1270186074.0474877]"
78,76465846.03470515,"[59763862.571125284, 46092299.71701166, 41997380.40270692, 40887876.39119217, 41373971.385691226, 43011832.42083156, 45676623.96181148, 49402824.5506649, 54340824.02114719, 60758339.18844694, 69071054.0396676, 79905728.40735567, 94212792.645221, 113465819.29492271, 140025809.42080355, 177838853.91571045, 233855670.91878843, 321143980.2962549, 466375986.07183504, 730092847.5601578, 1270702709.2695088]"
79,82017921.0803359,"[64302687.82485296, 49861943.91160652, 45692000.08658919, 44761907.5249272, 45603994.22869825, 47768145.22590393, 51155004.372071326, 55850482.629038036, 62087670.82943833, 70262102.09563518, 80988044.45567346, 95207762.94264925, 114389226.81033623, 140889391.80039, 178651242.92031264, 234622905.90240645, 321869671.29165626, 467061106.1408422, 730735016.3495665, 1271294638.3438768]"
80,88261787.52832417,"[69434174.93433534, 54161824.48302248, 49945350.9159199, 49266214.9489997, 50575443.27014172, 53424446.55409628, 57755400.727568865, 63732122.386867106, 71712922.28797352, 82290383.46601975, 96393298.54764462, 115480789.47068107, 141903681.16432488, 179600443.63434255, 235515601.15105033, 322711231.811167, 467853579.9769831, 731476387.2506542, 1271977088.202713]"
81,95322480.86795996,"[75270838.67099522, 59100480.49922392, 54880445.17702764, 54550093.802329004, 56477525.188457906, 60228698.78050339, 65812534.97715956, 73512656.58025306, 83881483.85793078, 97824374.38147116, 116785840.66421247, 143107042.21204472, 180719644.76667643, 236562998.92030835, 323694804.46282506, 468777013.84001493, 732338352.5932417, 1272769309.6825662]"
82,103355278.74840398,"[81953854.18847863, 64816303.62174657, 60656722.337149054, 60810451.27979785, 63564528.25424111, 68521086.85589164, 75796196.18651682, 85861436.6552602, 99578645.84673488, 118366880.42549872, 144551343.8416841, 182053016.60414386, 237803529.67884064, 324854405.3363118, 469861887.777056, 733348375.6031203, 1273695917.129056]"
83,112555041.47215569,"[89662407.39075595, 71488073.3665461, 67483912.7594896, 68311355.89845318, 72184705.30066276, 78778390.02723086, 88381986.63989902, 101769448.73177505, 120312440.42206573, 146308336.3747909, 183660515.89712334, 239288581.51295686, 326234986.2763438, 471148116.8613808, 734542179.0493965, 1274788776.582121]"
84,123169127.1987817,"[98626837.97909427, 79350125.31370339, 75642490.82119334, 77413636.32627201, 82825253.74564666, 91685264.28359687, 104568996.18611515, 122752089.85379863, 148479999.56327844, 185625420.77615893, 241088250.51048422, 327897004.71186113, 472688808.01656437, 735966914.102159, 1276089714.4899564]"
85,135515542.7782329,"[109147449.8946599, 88714641.80936426, 85514555.31545162, 88620881.15429056, 96184466.02889353, 108252679.2819345, 125883249.33379304, 151216092.96489346, 188066590.17956245, 243300391.43983388, 329923429.3851938, 474555902.5635028, 737685847.0403781, 1277654480.3647294]"
86,150008914.7308649,"[121621977.63607726, 100005167.7625823, 97631679.76125997, 102653068.15161604, 113291425.46759927, 130022463.11957765, 154745573.17275274, 191159309.29318035, 246065396.07142758, 332430821.0777085, 476848883.6785965, 739785459.5050297, 1279558672.3108974]"
87,167198397.01108485,"[136586598.44394177, 113808316.24574757, 112751267.74440819, 120568446.40909988, 135712407.7948811, 159436766.25146496, 195172694.59616828, 249591408.2490201, 335587513.76827765, 479708641.24056435, 742386504.3396187, 1281906819.437685]"
88,187824244.5987074,"[154778728.78693685, 130955889.20944208, 131982540.30172801, 143973237.56006074, 165923128.85149288, 200541490.27156663, 254199716.9793551, 339644783.1440973, 483340375.0582864, 745661774.1593943, 1284846700.080505]"
89,212904374.8828054,"[177235948.35218853, 152659700.80129492, 157002570.79367626, 175398973.35180783, 208016407.70495152, 260412145.5665779, 344993212.720953, 488053122.6002636, 749865734.6892042, 1288592656.1421876]"
90,243870595.7292821,"[205456970.46407434, 180741531.1112184, 190443657.3770839, 219018187.10486734, 269134523.0760819, 352271668.31409, 494331711.5672524, 755386166.4287481, 1293465013.1783137]"
91,282789985.6400008,"[241673532.26684898, 218043111.58026165, 236625380.59559882, 282089704.43107533, 362596955.96708274, 502976737.4888191, 762839085.9242668, 1299959769.6817179]"
92,332738156.4269047,"[289330002.18552375, 269196219.8386322, 303027425.20842993, 378107564.73563886, 515401246.2441366, 773255170.8058405, 1308878601.6302257]"
93,398456100.69886833,"[353973738.2365933, 342162040.4940034, 403486304.095711, 534336606.0079019, 788478451.5615942, 1321588051.8912134]"
94,487565614.42485285,"[445011968.6007998, 451549510.05616784, 565816352.9088128, 812122491.5826614, 1340582088.8344126]"
95,612956910.3501049,"[579445301.735695, 626469599.820087, 852274659.0100424, 1370850072.1517453]"
96,797831136.0278085,"[790566218.0288264, 931470689.177958, 1423791112.980527]"
97,1087346547.850668,"[1150744450.3135228, 1531758322.5843186]"
98,1578745507.9614694,[1841071733.3531787]
99,2511763265.8195295,[]
